Club;Season;Squad_Value_TM;Transfer_Expenditures;Transfer_Revenues
Real Madrid;2015/16;714.3;100.4;24.15
Real Madrid;2016/17;802.9;30.0;37.5
Real Madrid;2017/18;955.35;40.5;132.5
Real Madrid;2018/19;896.1;164.75;136.1
Real Madrid;2019/20;913.75;361.3;136.8
Real Madrid;2020/21;787.3;0.0;108.2
Real Madrid;2021/22;770.75;31.0;78.0
Real Madrid;2022/23;923.45;80.0;99.15
Real Madrid;2023/24;1135.1;161.5;13.0
Real Madrid;2024/25;1348.5;49.0;82.0
FC Barcelona;2015/16;726.0;51.0;38.3
FC Barcelona;2016/17;765.3;124.75;33.8
FC Barcelona;2017/18;1094.0;388.1;232.5
FC Barcelona;2018/19;1158.9;141.1;146.05
FC Barcelona;2019/20;930.27;304.0;154.4
FC Barcelona;2020/21;813.5;111.94;154.4
FC Barcelona;2021/22;735.6;69.5;95.36
FC Barcelona;2022/23;836.8;159.0;39.5
FC Barcelona;2023/24;916.2;33.4;131.7
FC Barcelona;2024/25;1082.65;66.5;66.8
Atlético Madrid;2015/16;418.5;119.0;152.0
Atlético Madrid;2016/17;515.8;78.8;44.0
Atlético Madrid;2017/18;711.15;95.6;104.0
Atlético Madrid;2018/19;969.7;168.0;57.9
Atlético Madrid;2019/20;720.15;247.35;316.3
Atlético Madrid;2020/21;773.1;92.0;83.3
Atlético Madrid;2021/22;661.8;85.7;22.75
Atlético Madrid;2022/23;534.3;29.5;28.25
Atlético Madrid;2023/24;458.45;56.5;103.1
Atlético Madrid;2024/25;542.5;188.0;114.98
Valencia CF;2015/16;254.0;143.9;50.0
Valencia CF;2016/17;257.5;36.0;121.9
Valencia CF;2017/18;398.05;55.0;16.55
Valencia CF;2018/19;499.65;129.2;68.8
Valencia CF;2019/20;427.8;75.0;56.3
Valencia CF;2020/21;278.85;0.05;88.85
Valencia CF;2021/22;310.6;16.35;2.7
Valencia CF;2022/23;249.78;12.5;54.6
Valencia CF;2023/24;244.73;10.4;28.9
Valencia CF;2024/25;215.56;2.87;30.0
Sevilla FC;2015/16;230.3;44.0;61.45
Sevilla FC;2016/17;270.1;81.7;93.45
Sevilla FC;2017/18;253.2;78.05;81.6
Sevilla FC;2018/19;306.3;81.05;93.8
Sevilla FC;2019/20;294.75;188.73;131.4
Sevilla FC;2020/21;418.25;74.35;19.68
Sevilla FC;2021/22;385.0;41.5;28.5
Sevilla FC;2022/23;232.58;30.4;91.5
Sevilla FC;2023/24;228.75;32.0;26.6
Sevilla FC;2024/25;183.9;20.0;32.85
Villarreal CF;2015/16;140.6;47.2;37.56
Villarreal CF;2016/17;190.7;55.95;67.25
Villarreal CF;2017/18;220.0;46.1;68.0
Villarreal CF;2018/19;230.65;92.9;54.8
Villarreal CF;2019/20;208.68;45.8;69.3
Villarreal CF;2020/21;292.6;37.84;26.65
Villarreal CF;2021/22;408.9;54.5;15.34
Villarreal CF;2022/23;363.5;6.48;31.6
Villarreal CF;2023/24;252.5;12.5;113.0
Villarreal CF;2024/25;264.25;69.0;74.5
Athletic Bilbao;2015/16;148.0;10.0;0.0
Athletic Bilbao;2016/17;172.6;0.0;0.0
Athletic Bilbao;2017/18;249.4;32.0;65.0
Athletic Bilbao;2018/19;234.25;33.65;80.0
Athletic Bilbao;2019/20;211.75;0.0;0.0
Athletic Bilbao;2020/21;204.15;11.13;0.0
Athletic Bilbao;2021/22;226.05;0.0;0.0
Athletic Bilbao;2022/23;222.45;0.0;0.0
Athletic Bilbao;2023/24;295.65;0.0;0.0
Athletic Bilbao;2024/25;375.35;18.0;9.25
Celta Vigo;2015/16;91.1;16.3;18.5
Celta Vigo;2016/17;122.4;8.4;19.8
Celta Vigo;2017/18;173.05;26.8;13.2
Celta Vigo;2018/19;234.1;30.0;35.7
Celta Vigo;2019/20;167.0;24.6;43.65
Celta Vigo;2020/21;155.85;3.0;2.5
Celta Vigo;2021/22;120.0;10.02;1.8
Celta Vigo;2022/23;138.8;25.73;17.2
Celta Vigo;2023/24;149.3;31.2;46.2
Celta Vigo;2024/25;130.9;11.2;20.5
Real Sociedad;2015/16;119.4;26.1;1.0
Real Sociedad;2016/17;156.45;21.63;11.0
Real Sociedad;2017/18;232.95;25.5;53.0
Real Sociedad;2018/19;300.95;12.0;32.8
Real Sociedad;2019/20;347.55;31.75;9.5
Real Sociedad;2020/21;406.6;10.0;28.25
Real Sociedad;2021/22;376.95;2.5;0.96
Real Sociedad;2022/23;441.7;55.0;88.0
Real Sociedad;2023/24;498.5;20.4;17.8
Real Sociedad;2024/25;345.05;45.2;71.35
Real Betis;2015/16;56.4;8.85;1.05
Real Betis;2016/17;84.2;20.9;8.0
Real Betis;2017/18;132.25;38.5;27.07
Real Betis;2018/19;290.75;47.0;49.3
Real Betis;2019/20;244.35;96.45;72.0
Real Betis;2020/21;207.7;0.0;43.7
Real Betis;2021/22;259.0;4.21;14.0
Real Betis;2022/23;246.4;27.4;14.75
Real Betis;2023/24;224.88;33.7;70.5
Real Betis;2024/25;291.7;41.05;61.2
Getafe CF;2015/16;49.1;0.27;4.1
Getafe CF;2016/17;23.4;1.35;3.0
Getafe CF;2017/18;65.6;12.9;1.6
Getafe CF;2018/19;132.2;27.25;5.0
Getafe CF;2019/20;175.45;21.5;11.25
Getafe CF;2020/21;170.1;22.05;9.75
Getafe CF;2021/22;208.68;15.16;21.0
Getafe CF;2022/23;118.9;15.75;20.5
Getafe CF;2023/24;133.01;11.0;7.04
Getafe CF;2024/25;87.71;9.2;30.8
RCD Espanyol;2015/16;62.2;4.45;15.2
RCD Espanyol;2016/17;80.8;18.4;6.0
RCD Espanyol;2017/18;97.8;17.05;10.5
RCD Espanyol;2018/19;174.7;22.1;30.8
RCD Espanyol;2019/20;156.05;61.5;61.0
RCD Espanyol;2020/21;80.0;2.76;9.7
RCD Espanyol;2021/22;131.6;6.0;0.0
RCD Espanyol;2022/23;116.5;20.6;17.8
RCD Espanyol;2023/24;57.43;3.7;33.3
RCD Espanyol;2024/25;116.98;0.9;1.55
Deportivo Alavés;2015/16;11.1;0.06;0.0
Deportivo Alavés;2016/17;85.4;6.33;0.0
Deportivo Alavés;2017/18;74.8;12.7;7.5
Deportivo Alavés;2018/19;110.8;10.0;9.0
Deportivo Alavés;2019/20;106.76;11.77;22.5
Deportivo Alavés;2020/21;79.8;0.0;4.88
Deportivo Alavés;2021/22;65.35;1.6;3.5
Deportivo Alavés;2022/23;36.08;0.0;0.75
Deportivo Alavés;2023/24;123.7;10.4;2.5
Deportivo Alavés;2024/25;92.35;11.0;19.37
